,time,acc1,acc2,acc3
0,0.0,   0.048,  4.357,  9.500
1,0.009879827499389648,   0.096,  4.597, 10.477
2,0.030719995498657227,   0.201,  5.344,  7.690
3,0.039879798889160156,   0.393,  5.478,  7.566
4,0.07043981552124023,   1.398,  5.363,  7.518
5,0.08012986183166504,   1.753,  5.171,  7.183
6,0.09013986587524414,   1.772,  4.990,  7.556
7,0.10015988349914551,   1.647,  4.875,  8.121
8,0.11014986038208008,   1.542,  4.626,  8.610
9,0.12996983528137207,   1.954,  4.262,  9.433
10,0.13993000984191895,   2.203,  4.214,  9.481
11,0.14990997314453125,   2.002,  4.243,  9.328
12,0.15992999076843262,   1.341,  4.415,  9.538
13,0.16997981071472168,   0.737,  4.664,  9.730
14,0.18002986907958984,   0.431,  4.827, 10.008
15,0.19001984596252441,   0.096,  5.363,  9.931
16,0.20994997024536133,   1.159,  5.871,  6.349
17,0.22989988327026367,   2.595,  5.286,  7.575
18,0.2503998279571533,   1.101,  4.942,  8.830
19,0.2598598003387451,   0.555,  4.932,  9.002
20,0.280059814453125,   0.737,  4.683,  8.064
21,0.29016995429992676,   1.092,  4.559,  8.006
22,0.3099699020385742,   1.743,  4.664,  8.734
23,0.320159912109375,   1.887,  4.396,  8.284
24,0.33026981353759766,   2.011,  4.118,  7.384
25,0.33984994888305664,   1.935,  4.099,  5.689
26,0.34997987747192383,   1.925,  4.990,  2.777
27,0.37007999420166016,   2.107,  5.315,  3.084
28,0.3799397945404053,   2.691,  4.942,  3.677
29,0.39010000228881836,   3.122,  4.827,  4.865
30,0.4102299213409424,   4.195,  4.721,  7.786
31,0.42006993293762207,   4.338,  4.798,  9.088
32,0.4298999309539795,   4.338,  4.769,  9.663
33,0.43980979919433594,   4.386,  4.654,  9.452
34,0.45007991790771484,   4.357,  4.578,  9.108
35,0.45988988876342773,   4.415,  4.645,  8.677
36,0.479949951171875,   4.970,  4.951,  8.236
37,0.4901299476623535,   5.353,  5.057,  8.284
38,0.4999399185180664,   5.737,  5.248,  8.313
39,0.510239839553833,   5.842,  5.373,  8.322
40,0.5200698375701904,   5.746,  5.401,  8.332
41,0.5398299694061279,   5.449,  5.219,  7.939
42,0.5498998165130615,   5.219,  4.990,  7.738
43,0.5598797798156738,   4.578,  5.526,  8.265
44,0.5701098442077637,   4.013,  5.966,  8.964
45,0.5799198150634766,   4.281,  5.488,  9.069
46,0.5900099277496338,   4.673,  5.296,  8.581
47,0.6103999614715576,   5.018,  5.248,  7.719
48,0.6208999156951904,   4.875,  5.277,  7.412
49,0.6299099922180176,   4.808,  5.248,  7.317
50,0.640739917755127,   5.306,  4.779,  7.010
51,0.6610798835754395,   5.545,  4.769,  6.158
52,0.6700198650360107,   4.961,  5.449,  6.206
53,0.6799399852752686,   4.108,  6.062,  7.211
54,0.6902999877929688,   3.898,  6.005,  8.389
55,0.7198197841644287,   4.875,  4.913,  9.213
56,0.7298099994659424,   5.353,  4.693,  8.820
57,0.7398297786712646,   5.593,  4.587,  8.437
58,0.7599198818206787,   5.650,  4.798,  7.221
59,0.7699799537658691,   5.679,  4.865,  6.330
60,0.7899198532104492,   4.654,  5.200,  4.760
61,0.8298799991607666,   4.300,  4.587,  3.926
62,0.8398699760437012,   4.673,  4.434,  4.214
63,0.8601398468017578,   5.325,  4.386,  4.846
64,0.8804399967193604,   5.449,  4.310,  4.175
65,0.8902599811553955,   4.846,  4.731,  3.898
66,0.8999199867248535,   4.683,  4.731,  3.361
67,0.910059928894043,   4.769,  4.741,  3.141
68,0.9198198318481445,   4.836,  4.654,  3.294
69,0.9298098087310791,   4.875,  4.568,  3.476
70,0.9397997856140137,   4.961,  4.444,  3.668
71,0.9498698711395264,   5.171,  4.424,  3.840
72,0.9599399566650391,   5.411,  4.166,  4.118
73,0.9700498580932617,   5.392,  4.338,  4.511
74,0.9799399375915527,   5.306,  4.530,  4.913
75,0.9899399280548096,   5.296,  4.453,  5.095
76,0.9999299049377441,   5.171,  4.597,  5.095
77,1.0099799633026123,   5.009,  4.693,  4.903
78,1.0298597812652588,   4.827,  4.645,  4.769
79,1.0399298667907715,   4.788,  4.482,  4.654
80,1.049839973449707,   4.769,  4.214,  4.626
81,1.0600500106811523,   4.587,  4.118,  4.520
82,1.070119857788086,   4.137,  3.965,  4.424
83,1.0800998210906982,   3.687,  3.649,  4.319
84,1.0900599956512451,   3.189,  3.361,  4.137
85,1.1000699996948242,   2.643,  3.055,  3.926
86,1.1102299690246582,   2.136,  2.940,  3.467
87,1.1400599479675293,   1.216,  2.107,  1.532
88,1.1701200008392334,   0.594,  0.986, -0.038
89,1.1800899505615234,   0.594,  0.565, -0.192
90,1.1901497840881348,   0.766,  0.182, -0.172
91,1.2001299858093262,   1.101, -0.163, -0.105
92,1.210249900817871,   1.599, -0.508, -0.124
93,1.2202098369598389,   2.289, -0.862, -0.239
94,1.2299997806549072,   3.045, -1.101, -0.718
95,1.2405498027801514,   3.764, -1.369, -1.417
96,1.2499299049377441,   4.568, -1.753, -2.375
97,1.2598998546600342,   5.401, -2.222, -3.563
98,1.2700998783111572,   6.129, -2.739, -4.539
99,1.2800397872924805,   6.665, -3.189, -5.143
100,1.2900598049163818,   6.924, -3.601, -5.449
101,1.299919843673706,   7.020, -4.156, -5.468
102,1.3136398792266846,   7.087, -4.712, -5.583
103,1.3201498985290527,   7.154, -5.229, -5.593
104,1.329819917678833,   7.298, -5.746, -5.545
105,1.3398399353027344,   7.537, -6.407, -5.535
106,1.3509798049926758,   7.882, -7.202, -5.698
107,1.359879970550537,   8.217, -7.882, -5.756
108,1.369919776916504,   8.715, -8.657, -5.813
109,1.380039930343628,   9.098, -9.759, -5.909
110,1.400129795074463,   9.012,-11.540, -4.999
111,1.4102799892425537,   8.475,-12.459, -3.792
112,1.4201898574829102,   7.939,-13.178, -2.270
113,1.4398999214172363,   7.547,-14.585,  0.833
114,1.4498999118804932,   7.757,-15.103,  2.327
115,1.4600298404693604,   8.006,-14.710,  3.812
116,1.4902698993682861,  11.281,-14.633,  7.250
117,1.4998300075531006,  12.191,-14.020,  7.594
118,1.5198400020599365,  13.130,-13.838,  7.499
119,1.5398199558258057,  13.829,-13.091,  6.282
120,1.5498697757720947,  13.628,-12.890,  5.727
121,1.5599098205566406,  13.503,-12.584,  4.836
122,1.5698399543762207,  13.618,-12.019,  3.323
123,1.5799098014831543,  13.925,-11.100,  1.599
124,1.5898900032043457,  14.327, -9.979,  0.211
125,1.599829912185669,  14.921, -8.897, -0.594
126,1.6102099418640137,  15.878, -8.255, -0.977
127,1.6202898025512695,  16.405, -7.633, -0.824
128,1.6301000118255615,  16.654, -7.374, -0.498
129,1.6398499011993408,  16.635, -7.326, -0.077
130,1.6499199867248535,  16.654, -7.767,  0.192
131,1.6598498821258545,  16.712, -8.217,  0.373
132,1.669909954071045,  17.267, -8.466,  0.201
133,1.6799099445343018,  17.746, -7.872, -0.345
134,1.6901497840881348,  18.636, -8.734, -1.255
135,1.6999199390411377,  19.087, -9.730, -2.480
136,1.7099599838256836,  19.307,-10.525, -3.352
137,1.7202398777008057,  19.422,-11.214, -3.965
138,1.7298998832702637,  19.470,-12.297, -3.955
139,1.7398297786712646,  19.106,-13.599, -3.361
140,1.749809980392456,  18.512,-14.844, -2.452
141,1.7599599361419678,  17.420,-15.428, -1.542
142,1.7700698375701904,  16.463,-15.687, -1.015
143,1.780019998550415,  15.639,-16.079, -1.216
144,1.7899198532104492,  14.882,-16.635, -2.461
145,1.7999398708343506,  13.254,-16.137, -3.199
146,1.8099498748779297,  11.684,-15.754, -3.582
147,1.8200998306274414,  10.994,-15.744, -3.840
148,1.8299298286437988,  10.898,-15.629, -4.434
149,1.8399097919464111,  10.812,-14.921, -5.344
150,1.8499598503112793,  10.985,-14.030, -6.416
151,1.8598899841308594,  11.291,-13.494, -7.393
152,1.870149850845337,  11.808,-13.427, -7.556
153,1.8801097869873047,  12.105,-13.408, -6.579
154,1.8900799751281738,  12.306,-13.475, -4.808
155,1.8999497890472412,  13.436,-13.858, -2.816
156,1.9101099967956543,  15.036,-15.055, -2.222
157,1.9201397895812988,  16.348,-16.970, -3.534
158,1.9299798011779785,  16.070,-18.253, -6.598
159,1.9499199390411377,  14.758,-19.221,-14.040
160,1.9600498676300049,  13.197,-19.383,-16.788
161,1.9700098037719727,  11.272,-18.522,-18.158
162,1.9799199104309082,   9.874,-17.602,-18.694
163,1.989879846572876,  10.161,-18.081,-16.424
164,2.0098299980163574,  12.488,-18.809,-13.599
165,2.0198099613189697,  16.012,-19.173,-11.483
166,2.029869794845581,  17.775,-19.355,-10.161
167,2.0398499965667725,  14.356,-19.450, -6.407
168,2.0498099327087402,   3.055,-19.498,  2.557
169,2.0597898960113525,  -8.246,-19.518, 11.052
170,2.0698599815368652, -13.896,-19.403, 15.294
171,2.079859972000122,  -9.998,-19.470, 16.520
172,2.0899298191070557,   1.647,-19.508, 15.639
173,2.0998599529266357,  10.592,-19.527, 11.827
174,2.1098999977111816,  15.064,-19.537, 15.687
175,2.1199898719787598,  -2.241,-19.537, 17.612
176,2.129809856414795, -10.889,-19.537, 18.579
177,2.1399598121643066, -15.218,-19.537, 19.058
178,2.149789810180664, -13.101,-18.148, 19.297
179,2.1598899364471436,  -9.491,-15.601, 19.048
180,2.169879913330078,  -8.236,-11.377, 16.865
181,2.1798999309539795,  -7.977, -7.872, 15.093
182,2.189879894256592,  -5.468, -5.152, 12.967
183,2.1998298168182373,   1.753, -2.643,  5.765
184,2.219829797744751,  13.159,  1.647,-13.015
185,2.229869842529297,  14.394,  3.716,-16.271
186,2.2410998344421387,  13.992,  4.472,-17.899
187,2.249919891357422,  13.216,  2.883,-15.151
188,2.260969877243042,  11.837,  0.488, -9.778
189,2.270020008087158,   7.594,  1.015,  4.884
190,2.279819965362549,   5.804,  0.824, 12.210
191,2.2899599075317383,   4.673, -0.709, 15.878
192,2.299799919128418,   4.769, -1.341, 17.708
193,2.309969902038574,   4.970, -1.073, 17.238
194,2.319999933242798,   5.622, -0.776, 12.785
195,2.3301098346710205,   6.551, -0.536,  7.920
196,2.3407599925994873,   7.278, -0.469,  3.687
197,2.3502798080444336,   7.796, -0.565,  0.622
198,2.3599798679351807,   7.393, -0.709, -1.197
199,2.3700098991394043,   7.049, -0.891, -1.484
200,2.3799498081207275,   6.100, -1.140, -1.073
201,2.3901398181915283,   4.587, -1.369, -0.613
202,2.3999698162078857,   3.285, -1.609, -0.278
203,2.4099299907684326,   1.820, -2.260,  1.523
204,2.4200198650360107,  -0.766, -3.582,  7.547
205,2.4300599098205566,  -5.258, -4.616, 13.542
206,2.4399797916412354,  -8.495, -6.292, 16.539
207,2.4498298168182373, -11.808, -7.690, 18.043
208,2.4598898887634277, -13.953, -8.370, 18.790
209,2.469949960708618, -13.408, -8.092, 19.163
210,2.4799599647521973, -11.559, -6.148, 19.355
211,2.49006986618042,  -7.700, -3.160, 17.008
212,2.5099599361419678,  -3.457,  0.268, 13.340
213,2.5277798175811768,   0.278,  9.050, 11.521
214,2.5401198863983154,  -2.806, 14.289, 13.618
215,2.5498099327087402,   1.839, 12.115, 15.773
216,2.559849977493286,   9.069,  5.966, 16.309
217,2.569819927215576,  14.097,  1.149, 14.365
218,2.579899787902832,  16.817, -2.749, 12.632
219,2.5899598598480225,  18.177, -6.072, 10.218
220,2.599979877471924,  18.857, -8.552,  7.891
221,2.6099698543548584,  17.420, -9.175,  6.551
222,2.6202099323272705,  13.992, -6.570,  6.598
223,2.6302897930145264,  10.333, -4.089,  6.139
224,2.6399199962615967,   6.905, -2.423,  4.779
225,2.6498398780822754,   4.108, -1.456,  3.084
226,2.65982985496521,   2.222, -1.015,  1.628
227,2.6698899269104004,   1.274, -0.986,  0.709
228,2.6801397800445557,   0.948, -1.274, -0.048
229,2.6916799545288086,   0.958, -1.580, -0.661
230,2.6999599933624268,   1.073, -1.657, -0.919
231,2.7099199295043945,   1.092, -1.571, -1.207
232,2.7198197841644287,   0.881, -1.599, -1.408
233,2.7298498153686523,   0.670, -1.887, -1.628
234,2.7399299144744873,   0.354, -2.231, -1.867
235,2.7498397827148438,  -0.326, -2.768, -1.657
236,2.760209798812866,  -1.245, -3.141, -1.053
237,2.76993989944458,  -2.260, -3.122, -0.259
238,2.780089855194092,  -3.601, -2.883,  0.316
239,2.7899699211120605,  -5.909, -1.762,  2.222
240,2.800149917602539,  -9.165, -1.302,  6.359
241,2.81007981300354, -11.741, -3.132, 12.814
242,2.820079803466797, -13.906, -5.325, 16.175
243,2.831239938735962, -14.834, -5.804, 17.861
244,2.839939832687378, -14.480, -5.028, 18.704
245,2.8500399589538574, -13.503, -4.511, 19.125
246,2.8599798679351807, -12.105, -3.898, 16.884
247,2.869929790496826, -10.410, -2.298, 14.902
248,2.8800599575042725,  -8.466, -0.728, 13.053
249,2.8900399208068848,  -6.953,  0.757, 10.697
250,2.9001100063323975,  -5.861,  2.385,  8.696
251,2.9100699424743652,  -4.961,  3.543,  7.087
252,2.9200899600982666,  -4.482,  3.936,  6.282
253,2.9301698207855225,  -3.984,  3.754,  6.723
254,2.939969778060913,  -3.084,  3.122,  7.432
255,2.9503397941589355,  -2.433,  2.318,  7.910
256,2.959980010986328,  -2.059,  1.523,  8.198
257,2.9699599742889404,  -2.193,  0.948,  8.284
258,2.979979991912842,  -2.500,  0.642,  8.322
259,2.9900598526000977,  -2.547,  0.632,  8.322
260,3.0000598430633545,  -2.873,  0.680,  8.265
261,3.0100998878479004,  -3.093,  0.862,  8.102
262,3.0200698375701904,  -3.285,  1.226,  8.140
263,3.0325498580932617,  -3.409,  1.743,  8.092
264,3.040109872817993,  -3.668,  2.413,  6.531
265,3.0499298572540283,  -3.476,  2.921,  7.326
266,3.0598700046539307,  -3.065,  2.911,  9.376
267,3.0698599815368652,  -2.844,  2.796, 10.333
268,3.0800797939300537,  -2.825,  2.634, 10.420
269,3.0904297828674316,  -3.074,  2.346,  9.175
270,3.099900007247925,  -3.505,  2.030,  8.792
271,3.1101698875427246,  -3.783,  1.810,  9.108
272,3.1598799228668213,  -3.294,  1.130,  9.692
273,3.180149793624878,  -3.055,  0.536,  9.644
274,3.1899499893188477,  -2.729,  0.067,  9.519
275,3.200049877166748,  -2.595, -0.297,  9.357
276,3.210209846496582,  -2.701, -0.268,  9.136
277,3.2199599742889404,  -2.825, -0.335,  8.906
278,3.2300097942352295,  -2.950, -0.785,  8.878
279,3.2401599884033203,  -2.902, -1.101,  9.088
280,3.2499899864196777,  -2.883, -1.111,  9.136
281,3.259889841079712,  -3.112, -0.929,  9.136
282,3.2698299884796143,  -3.505, -0.555,  9.203
283,3.2822999954223633,  -4.013, -0.201,  9.376
284,3.290179967880249,  -4.108, -0.038,  9.883
285,3.2997899055480957,  -4.003, -0.067, 10.429
286,3.309809923171997,  -4.070, -0.029, 11.013
287,3.3198599815368652,  -4.338,  0.086, 11.377
288,3.3298799991607666,  -4.846,  0.479, 11.368
289,3.3398399353027344,  -5.286,  1.101, 10.630
290,3.349869966506958,  -5.392,  1.580,  9.337
291,3.359989881515503,  -5.152,  1.820,  7.977
292,3.369919776916504,  -4.453,  1.954,  7.010
293,3.37992000579834,  -3.438,  1.781,  6.656
294,3.389930009841919,  -2.471,  1.408,  6.761
295,3.400209903717041,  -2.270,  0.967,  6.981
296,3.4101099967956543,  -2.308,  0.651,  7.872
297,3.4201598167419434,  -1.686,  0.182,  8.744
298,3.430879831314087,  -1.111, -0.201,  9.615
299,3.4400699138641357,  -1.561, -0.555, 10.247
300,3.4499499797821045,  -2.126, -0.843, 10.008
301,3.459819793701172,  -2.394, -0.843,  9.079
302,3.4699199199676514,  -2.394, -0.843,  7.853
303,3.480109930038452,  -2.777, -0.642,  7.939
304,3.4905498027801514,  -3.725, -0.517,  6.522
305,3.510129928588867,  -4.080, -0.776,  6.541
306,3.520559787750244,  -4.367, -1.312,  7.154
307,3.530289888381958,  -4.578, -1.772,  8.226
308,3.5499699115753174,  -3.965, -2.308, 10.247
309,3.5599799156188965,  -3.227, -2.442, 10.755
310,3.5699198246002197,  -2.567, -2.500, 10.755
311,3.57997989654541,  -1.944, -2.500, 10.257
312,3.589939832687378,  -1.446, -2.557,  9.500
313,3.6000797748565674,  -1.226, -2.423,  8.916
314,3.6100800037384033,  -1.111, -2.231,  8.648
315,3.6201999187469482,  -1.264, -2.059,  8.610
316,3.6301798820495605,  -1.331, -1.954,  9.155
317,3.6402299404144287,  -1.207, -1.753, 10.046
318,3.649939775466919,  -0.910, -1.523, 10.822
319,3.6599597930908203,  -0.594, -1.331, 11.080
320,3.670029878616333,  -0.393, -1.274, 10.793
321,3.6901698112487793,  -0.335, -1.465,  9.634
322,3.7000699043273926,  -0.268, -1.628,  9.270
323,3.710129976272583,  -0.287, -1.561,  9.864
324,3.720139980316162,  -0.306, -1.686, 10.429
325,3.730029821395874,  -0.268, -1.772, 10.726
326,3.740079879760742,  -0.086, -2.059, 10.918
327,3.750009775161743,   0.057, -2.547, 10.870
328,3.7598798274993896,  -0.345, -3.170, 10.937
329,3.7699198722839355,  -1.389, -3.994, 10.879
330,3.77990984916687,  -2.394, -4.530, 11.061
331,3.790030002593994,  -2.863, -5.085, 11.808
332,3.80010986328125,  -2.835, -6.321, 12.996
333,3.8101398944854736,  -2.433, -8.054, 14.940
334,3.8202199935913086,  -2.097,-10.104, 16.951
335,3.8300299644470215,  -2.624,-11.540, 18.244
336,3.8602399826049805,  -0.881,-15.591, 19.383
337,3.8699498176574707,  -1.829,-15.649, 19.460
338,3.8802897930145264,  -2.356,-16.510, 19.498
339,3.900009870529175,  -1.935,-17.535, 18.119
340,3.9100899696350098,  -1.092,-17.679, 15.936
341,3.920139789581299,  -0.239,-17.028, 13.321
342,3.9299697875976562,   0.613,-15.965, 11.042
343,3.940009832382202,   1.542,-14.854,  9.443
344,3.949979782104492,   2.069,-13.724,  8.150
345,3.9598898887634277,   2.308,-12.632,  7.250
346,3.9820899963378906,   3.658,-12.440,  6.139
347,4.000019788742065,   4.223,-12.440,  5.947
348,4.010249853134155,   4.539,-12.459,  5.593
349,4.0199198722839355,   4.884,-12.613,  4.788
350,4.029969930648804,   4.903,-12.728,  3.390
351,4.040179967880249,   4.750,-12.862,  1.532
352,4.050019979476929,   4.990,-12.967, -0.364
353,4.059859991073608,   5.842,-13.206, -2.107
354,4.069839954376221,   7.058,-13.455, -4.204
355,4.080319881439209,   8.102,-13.599, -6.464
356,4.0901198387146,   8.006,-12.833, -8.035
357,4.09991979598999,   7.796,-12.249, -8.782
358,4.109919786453247,   8.341,-12.297, -8.935
359,4.120029926300049,   8.878,-12.345, -8.418
360,4.13004994392395,   9.299,-12.096, -4.128
361,4.140009880065918,  11.914,-13.082, -2.787
362,4.150079965591431,  14.241,-12.689, -1.810
363,4.15982985496521,  16.482,-12.105,  0.622
364,4.169829845428467,  18.004,-10.937,  2.672
365,4.18002986907959,  18.771, -8.763,  3.563
366,4.189889907836914,  19.154, -4.472,  3.026
367,4.1999499797821045,  19.345,  0.766, 11.281
368,4.210159778594971,  19.441,  4.712, 15.409
369,4.219899892807007,  19.489,  8.399, 17.478
370,4.229879856109619,  17.842,  4.214, 18.512
371,4.239979982376099,  15.007, -1.197, 15.668
372,4.249839782714844,  11.952, -4.061, 10.353
373,4.2599098682403564,   8.332, -5.871,  4.281
374,4.269819974899292,   4.223, -5.986, -1.829
375,4.280129909515381,  -0.306, -5.124, -6.800
376,4.290109872817993,  -4.606, -4.472, -9.998
377,4.300029993057251,  -7.661, -4.032,-11.722
378,4.310050010681152,  -8.265, -3.199,-11.827
379,4.321049928665161,  -6.905, -2.308, -9.625
380,4.330060005187988,  -4.942, -1.494, -3.879
381,4.3399598598480225,  -3.496, -0.211,  4.578
382,4.350199937820435,  -2.519,  1.695, 12.057
383,4.359889984130859,  -2.356,  3.888, 15.802
384,4.369919776916504,  -1.829,  4.032, 17.669
385,4.379969835281372,  -0.661,  2.825, 18.608
386,4.390059947967529,   1.369,  1.465, 19.077
387,4.409999847412109,   4.434, -0.632, 16.003
388,4.4200098514556885,   4.310, -0.795, 13.149
389,4.429999828338623,   3.476, -0.383, 10.889
390,4.43999981880188,   2.538,  0.144,  9.404
391,4.450069904327393,   2.241,  0.077,  8.610
392,4.46986985206604,   2.356, -0.144,  8.408
393,4.4799299240112305,   2.796, -0.555,  8.198
394,4.490079879760742,   2.969, -0.862,  8.265
395,4.5,   3.218, -0.939,  8.428
396,4.509979963302612,   4.041, -0.871,  8.198
397,4.520059823989868,   4.980, -0.124,  8.073
398,4.529899835586548,   5.239,  0.939,  7.843
399,4.54000997543335,   4.999,  1.733,  7.623
